,Tweet Number,News Organization,Tweet,Compound Score,Positive Score,Negative Score,Neutral Score
38,38,@BBC,"RT @BBCTheOneShow: Learn to pitch like a pro with these top tips from Dragons' Den star @DeborahMeaden  💁🐲
#WorldEntrepreneursDay https://t…",0.5106,0.202,0.0,0.798
39,39,@BBC,"From Charmed to Buffy, here are all the '90s TV reboots we're deliriously excited for.
👉 https://t.co/6PwqlFMTLl https://t.co/n8gibv7DiJ",0.6597,0.265,0.0,0.735
40,40,@BBC,"RT @bbcstrictly: Say hello to the #Strictly class of 2018! 👋✨
Meet our fabulous 15: https://t.co/SUvuhlm6fE https://t.co/xgQnshXomS",0.5707,0.187,0.0,0.813
41,41,@BBC,"🥑 🥑 🥑 🥑 🥑
This is the AVOZILLA - five times bigger than a regular avocado. https://t.co/FiD9eXNzqg",0.0,0.0,0.0,1.0
42,42,@BBC,"💍🥕 A gold ring that was lost in a vegetable garden 12 years ago has been found on a carrot dug up for dinner.
👉… https://t.co/ggVGReMlxy",-0.3182,0.0,0.095,0.905
43,43,@BBC,"RT @BBCFOUR: “When I go grocery shopping, I’m not shopping ‘dwarfishly’. You know what I mean? It’s not magical or special that I’m shoppin…",-0.3089,0.0,0.097,0.903
44,44,@BBC,RT @bbcasiannetwork: Eid Mubarak to everyone celebrating! #Eid #EidAlAdha https://t.co/bxDMxXnS4y,0.6114,0.307,0.0,0.693
45,45,@BBC,"RT @BBCR1: ""YOU'RE NOT GONNA BELIEVE THIS SMOL CAMILA..."" 💔😭

@Camila_Cabello tweeting her younger self after the #VMAs is too adorable.

h…",0.4939,0.132,0.0,0.868
46,46,@BBC,❤️🦔 All animals need someone like JOAN! https://t.co/45ldsfXqNC,0.4199,0.285,0.0,0.715
47,47,@BBC,"Now 22, the youngest US recipient of a face transplant has shared the results of several years of exhaustive recons… https://t.co/NRG3ikfob9",0.2263,0.11,0.068,0.822
48,48,@BBC,"Ria was adopted from Sri Lanka when she was three weeks old, and all she has of her birth mother is a single photog… https://t.co/kO1gcsrouf",0.0,0.0,0.0,1.0
