News Organization,Tweet Number,Compound Score,Positive Score,Negative Score,Neutral Score
@BBC,49.5,0.13418800000000006,0.10639000000000001,0.045230000000000006,0.8484000000000003
@CBS,49.5,0.13080600000000003,0.07962000000000002,0.03062000000000001,0.8897600000000001
@CNN,49.5,-0.006026000000000009,0.07039000000000002,0.07151999999999999,0.8580699999999998
@FoxNews,49.5,-0.141886,0.05507000000000001,0.12864000000000006,0.8162499999999998
@nytimes,49.5,-0.06793000000000002,0.054540000000000005,0.08179,0.8636500000000001
